"Plugin","Authors","Installs"
"Quest Helper","Zoinkwiz","457,098"
"117 HD","117","327,940"
"Guardians of the Rift Helper","BofaBear","241,130"
"Zulrah Plugin","while-loop","200,129"
"Tombs of Amascut","LlemonDuck","197,607"
"Banked Experience","TheStonedTurtle","184,134"
"Skills Progress","m0bile btw","179,934"
"The Gauntlet","rdutta","165,969"
"Bank Tag Layouts","geheur","165,020"
"Mahogany Homes","TheStonedTurtle","159,305"
"Tile Packs","TrevorMDev","149,356"
"Essence Pouch","Adam","148,759"
"Tempoross","Canvasba","145,245"
"WikiSync","andmcadams","144,074"
"Rogues' Den","Nightfirecat","143,951"
"Fight Cave Waves","Nightfirecat","135,674"
"Equipment Inspector","sean-duffy, waistcoat, and botanic","135,143"
"Inventory Setups","dillydill123","134,815"
"Collection Log","evansloan","124,363"
"Easy Giant's Foundry","Toofifty","116,694"
"Hub Party Panel","TheStonedTurtle","112,312"
"Better NPC Highlight","Buchus","109,821"
"Radius Markers","Skretzo","109,761"
"Hunllef Helper","Loze-Put","106,757"
"Kitten Tracker","pieterjanbuntinx","104,798"
"Resource packs","melky","101,631"
"Wilderness Lines","Nightfirecat","98,832"
"Max Hit","Matt 12 years later","98,769"
"Chompy Hunter","Botanophobia","95,862"
"CoX Timers & Additions","De0","91,947"
"Left Click Dropper","Zom","85,497"
"Optimal Quest Guide","cesoun","84,954"
"Plank Sack","Enriath","76,684"
"Wasted Bank Space","mcgeer,Bebop79","75,899"
"Customizable XP drops","L2-","74,457"
"Loot Lookup","TommyTwelve","72,846"
"Loot Logger","TheStonedTurtle","72,015"
"Crab Stun Timers","Ankou","71,855"
"Runecrafting Utilities","Jacob Petersen","71,819"
"One Click Summer Garden","LlemonDuck","71,153"
"Thrall Helper","PortAGuy","71,049"
"Menu Swapper Extended","raiyni","69,031"
"Shortest Path","Runemoro","68,793"
"Barrows Doors Highlighter","Jordan Hans","68,622"
"Ba Minigame","BegOSRS","68,613"
"C Engineer: Completed","m0bile btw","67,146"
"ToA Puzzle Helper","Tiiiiiiiiiim","66,768"
"Fight Caves Spawn Predictor","Damen","66,528"
"Bossing Info","MrNice98","66,504"
"Gauntlet Minimap","Vic Segers","65,772"
"Flipping Utilities","Beliael","63,999"
"Shooting Stars Tracking","Patrick","63,208"
"Custom Menu Swaps","geheur","60,863"
"Ping Graph","yuh25","60,791"
"RaidReloader","Trevor","60,154"
"RuneWatch","while-loop","58,265"
"Improved Tears Interface","Cyborger1","57,755"
"Visual Metronome","Vincent0955","56,249"
"Improved Tile Indicators","LeikvollE","54,977"
"Bot Detector","Ferrariic","54,862"
"Bats Locator","chestnut1693","53,440"
"Crab Solver","TheStonedTurtle","51,401"
"Door Kicker","Enriath","50,521"
"Monster Hp Percentage","Le Jeffe","50,138"
"Clan Events","Maz","48,901"
"Supplies Tracker","Patrick","47,886"
"Stealing Artefacts","UIM Heals","46,808"
"Zalcano","Tjieco","45,036"
"Blackjack","Sean M","44,875"
"Damage Counter","0anth","44,486"
"Fight Cave Helper","runkev","43,722"
"Wilderness Player Alarm","Alex","42,999"
"Fish Barrel","molo-pl","42,656"
"Herbi AFK","Maurits825","42,574"
"Time Tracking Reminder","queicherius","42,087"
"Tick Tracker","Tatterss","41,502"
"Raid Data Tracker","Canvasba","41,430"
"ToB QoL","Damen","41,232"
"Fishing Notifier","Bram91","41,053"
"CoX Light Colors","Ankou","40,826"
"PvP Performance Tracker","Matsyir","40,564"
"Bank XP Value","dseeler","39,841"
"Emote Clue Items","Lars van Soest","39,698"
"Player Outline","neilrush","39,006"
"Fashionscape","equirs","38,281"
"NMZ Optimal Points","Bloogeyz, Nate Wiebe","38,158"
"Slayer Assistant","LeeOKeefe","37,901"
"DPS Calculator","LlemonDuck","37,803"
"Shooting Stars","andmcadams","37,697"
"Weapon Charges (WIP)","geheur","37,436"
"High Alc Profit Highlighter","Bloogeyz,Atroxide,neilrush,clarkey252","35,714"
"Annoyance Mute","Brooklyn","35,662"
"Cox Additions","Buchus","35,646"
"Calculator","Spedwards","34,589"
"CoX Scouter External","Truth Forger","33,931"
"Large Logout","dekvall","33,375"
"Easy Blast Furnace","Toofifty","33,012"
"Shooting Star Info","Patrick","32,558"
"Raid Points Overlay","Trevor","32,544"
"Detached Camera","Adam","32,058"
"Wintertodt Notifications","Jodelahithit","31,285"
"Bird Run Alert","ffalor","30,591"
"ToA Points Tracker","AbusiveTuna","30,362"
"Not Empty","dekvall","30,185"
"Runedoku","AdituV","29,106"
"Clue steps","sky","28,976"
"Toa Mistake Tracker","Questing Pet","28,943"
"Camera Smoothing","ArtsicleOfficial","28,827"
"Pickpocket Info","Diabolickal","28,706"
"Motherlode Mine Improved","TicTac7x","28,266"
"3D Weather","ScreteMonge","28,183"
"Shayzien Organised Crime","DylanLange","27,393"
"Item Charges Improved","TicTac7x","27,385"
"Zoom Extender","Adam","27,047"
"Pickpocket Helper","Ruben","26,538"
"Effective Levels","Xrio","26,336"
"Party Defence Tracker","Buchus","26,283"
"Tithe Farm Improved","TicTac7x","26,116"
"AFK Countdown","Im2be","25,931"
"Cannon Highlighter","ConorLeckey","25,745"
"CoX Censor","Karambtwo","25,672"
"Pyramid Plunder Counter","adnapPanda","25,670"
"Monster Menu HP","Ankou","25,280"
"ImplingSaver","Nate","24,883"
"One Tick Flick Metronome","Minhs2","24,753"
"BA Call Highlight","Rugg0064","24,353"
"Fossil Island","Adam","23,760"
"Nexus Menu Map","Antipixel","23,301"
"Watson clue tracker","geheur","23,290"
"Pet Info","micro tea","23,273"
"Volcanic Mine","Hippipi","23,246"
"Barrows Potential","GodofDrakes","23,228"
"CoalBag","NickWolff","23,006"
"Profit Tracker","nofatigue","22,772"
"MLM Upper Level Markers","Cyborger1","22,666"
"NMZ Utilities","Zom","22,495"
"Profiles","Spedwards","22,460"
"Herblore Recipes","ClimbRideCode","22,305"
"Spec Regen Timer","Bram91","22,222"
"Sulliuscep run","TicTac7x","22,104"
"Gnome Restaurant","Hexagon","21,919"
"Gauntlet Calculator","Bwana Ian","21,819"
"Weapon/Gear/Animation Replacer","geheur","21,765"
"Nex Nostalgia","Hexagon","21,350"
"Corp FFA","Box Of Hats","20,922"
"Ground Object Hider","Leo288","20,916"
"Tob Mistake Tracker","Questing Pet","20,768"
"Theatre of Blood Stats","HSJ","20,310"
"Green Thumb","Asthereon","20,142"
"Wise Old Man","dekvall","19,811"
"Marks of Grace Counter","Cyborger1","19,590"
"Virtual Level Ups","Nightfirecat","19,467"
"HD Minimap","Mark7625","19,068"
"TOB Damage Counter","Trevor","18,996"
"Last Seen Online","molo-pl","18,836"
"Rooftop Agility Improved","TicTac7x","18,448"
"Looting Bag","Patrick","18,421"
"Konar Milestone Reminder","michael-gutman","18,348"
"Multicolor Highlights","sgfost","18,112"
"Master Farmer","ConradicalMel","17,825"
"Ultimate NMZ","iant89","17,402"
"Bank Value Tracker","Adrian Elder","17,267"
"Bank Memory","LazyFaith","17,259"
"ToB Light Colors","Maurits825","17,209"
"Wintertodt Scouter","nucleon","17,068"
"Fixed Mode Hide Chat","deathbeam","16,555"
"Bank Heatmap","raiyni","16,486"
"Spring Garden","Majesty373","16,380"
"Prifddinas","David","16,361"
"Discord Loot Logger","Adam","16,214"
"Pathfinder","Milo Piazza & William Ferreira","16,157"
"Companion Pet Plugin","MrNice98","16,021"
"Guardians of the Rift Leech","Questing Pet","15,994"
"Set Timer","InfernoStats","15,881"
"BirdhouseOverlay","hong-niu, li-cody","15,633"
"Rainbow Rave","geheur","15,611"
"Pouch time to degrade","DavidV","15,450"
"ToG Crowdsourcing","JC A","15,180"
"Did I Compost?","AbusiveTuna","15,145"
"Picture in Picture","DekuScrub","14,993"
"Bank Value","spudjb","14,873"
"Dense Runecrafting","Zom","14,848"
"Easy Teleports","LlemonDuck","14,612"
"Better Godwars Overlay","Denchy","14,527"
"Discord Rare Drop Notifier","BossHuso","14,449"
"Nylo Death Indicators","InfernoStats","14,230"
"Transmogrification","Enriath","14,009"
"Quick Prayer Preview","Enriath","13,979"
"Mage Arena 2 Memory","Herbs","13,972"
"Inferno Stats","InfernoStats","13,970"
"Death Indicator","Adam","13,792"
"Action Progress","Caleb Whiting","13,744"
"Probability Calculator","Pharros","13,732"
"Decimal Prices","rmaes4","13,729"
"Patch Payment","zaaack","13,724"
"Time to Level","while-loop","13,716"
"Efficient Fletching","adnapPanda","13,677"
"Gauntlet Map","StickySerum","13,616"
"Ring of Recoil Notifier","delps1001","13,521"
"Bank Tag Generation","Mitch","13,472"
"Tasks Tracker","Reldo.net","13,213"
"Dance Party","dekvall","13,142"
"Visual Ticks","Nerdpuff","13,040"
"Forestry CC","Rang","13,027"
"Volcanic Mine Stability Tracker","Hexagon","12,967"
"No Examine","Skretzo","12,965"
"Spam filter","jackriccomini","12,822"
"AfkTimer","MrMedicus","12,690"
"Inferno Split Timer","usa-usa-usa-usa","12,525"
"Camera Points","NullNameException","12,337"
"Turael Skipping","BrastaSauce","12,326"
"Emoji Palette","hjdarnel","12,305"
"Path Marker","GeChallengeM","12,126"
"ItemRarity","Zamatica","12,090"
"Discord Death Notifications","elguy","12,074"
"Spawn Marker","Thevir","12,051"
"Trouble Brewing","Biffo89","11,890"
"AttackTimer","ngraves95","11,570"
"Bank Tab Names","psyda","11,516"
"Herb Sack Price Check","Broadbent","11,500"
"Tick Counter","winterdaze","11,459"
"Discord Notifications","WintZ","11,433"
"Autumn Garden","Ailie Luibh","11,390"
"Runite Rocks","TheStonedTurtle","11,306"
"OSRS Wiki Crowdsourcing","OSRS Wiki","11,266"
"Unresponsive Cursor","Bluelitezero","11,241"
"TaskJingle","Max","10,650"
"Better Teleport Menu","Abex","10,541"
"Instant Inventory","Elg","10,533"
"ToB Drop Chance Overlay","winterdaze","10,356"
"RSN Hider","ThatGamerBlue","10,347"
"InstantDamageCalculator","Geeckon","10,171"
"Combat Achievements Timers","lukamircetic","10,136"
"Spirit Tree Menu","DekuScrub","10,115"
"NPC Idle Timer","vonpawn","10,108"
"Monkey Metrics","Lotto","10,002"
"Blood Shard Notifier","Jurre Groenendijk","9,929"
"Bank Screenshot","raiyni","9,910"
"Bank Equipment Stat Filter","Adam Giles","9,887"
"Tedious Collection Log","evaan","9,853"
"Stronghold of security question helper","severikupari1","9,823"
"Prop Hunt","Idyl","9,721"
"AFK GOTR","Zom","9,662"
"Giant's Foundry Gear Values","Speshkitty","9,643"
"NPC ID","Xrio","9,614"
"Current World","Brooklyn","9,599"
"Tob Health Bars","Trevor","9,439"
"Abex's Idle Notifier","Abex","9,418"
"Discord Collection Logger","Paul","9,386"
"Vardorvis Projectiles","InfernoStats","9,382"
"ChatboxOpacity","Trevor","9,322"
"Runecrafting Tracker","Harrison","9,303"
"Drop Sounds","LilJickDones","9,299"
"Player Highlighter","Zettlematt","9,270"
"Balloon Transport System","TicTac7x","9,096"
"Herb Farming Calculator","Lucas Pickering","8,984"
"Advanced Notifications","Zakru","8,940"
"Combo Runes Only","LlemonDuck","8,866"
"Nightmare Timers","De0","8,861"
"Slayer Additions","sky","8,812"
"Idle Alarm","observnad","8,657"
"Temple Tracker","Canvasba","8,603"
"Daily Tasks","TicTac7x","8,597"
"Essence Running","Aaron","8,586"
"Better Discord Loot Logger","RinZ","8,578"
"ToB QoL Improvements","WLoumakis","8,332"
"TOB HM Timer","Loze-Put","8,290"
"Lance Enhance","Brooklyn","8,279"
"Animation Transmog","ArtimosPenguidor","8,146"
"XP Drop Extended","Keywok","8,143"
"Lootbag Utilities","LootBagger","7,971"
"Hide Widgets","PresNL","7,938"
"Last Man Standing","Patrick","7,906"
"Fullscreen","dekvall","7,903"
"Group Ironmen Tracker","Christopher Brown","7,858"
"Resting","ScreteMonge","7,826"
"Arceuus Timers","Mantic","7,808"
"Unpotted Reminder","Ankou","7,806"
"Smart Metronome","Brooklyn","7,734"
"Visual Sounds","Box Of Hats","7,714"
"Dynamic Entity Hider","Jbleezy","7,669"
"Random Event Hider","YvesW","7,631"
"Better Overload","Aurelify","7,557"
"Item Drop Sound Notification","Spongie","7,449"
"Track Healers","mmdts","7,444"
"CostumeRoomHighlighter","michaelperino","7,421"
"Flipper","Kyle Richardson","7,387"
"Specimen Cleaning","acdvs","7,337"
"Dry Meter for Raids","RydawgRS","7,332"
"Instant Idle Notify","Patrick","7,250"
"Butler Info","NickMckloski","7,243"
"Emoji Madness","dekvall","7,227"
"Agility Pyramid Slider Block Timer","Wesley","7,154"
"Life Saver","Keywok","7,141"
"More Fireworks","Marbleturtle","7,111"
"Cat V Rat","Gunner Stone","7,101"
"Home Enforcer","Enriath","6,987"
"BA Plus","Furret","6,900"
"Sandstone Buckets Counter","wookkeey","6,826"
"Consumable Cooldowns","Copy Pasta","6,807"
"Brush Markers","Bram91","6,789"
"Normal Ancient Teleports","Idyl","6,743"
"Animated Icons","winterdaze","6,742"
"Don't eat it!","Enriath","6,704"
"Impling Finder","Hablapatabla","6,662"
"Ground Item Sounds","Pharros","6,659"
"Equipment Screenshot","Truth Forger","6,640"
"Vengeance Tracker","MrNice98","6,609"
"Tree Count","infinitay","6,571"
"Max Hit Calculator","j-cob44","6,560"
"ToB Light Up","Brooklyn","6,492"
"Boss Health Indicators","Rugg0064","6,436"
"Shift Remapping","WhatATopic","6,410"
"Cox Analytics","Buchus","6,383"
"Combat Information","KMPLX","6,308"
"Rlweather","Bogstandard","6,161"
"Protect Item Notify","Mathew Chapman","6,050"
"Dude, Where's My Stuff?","Thource","6,045"
"Imbued Heart Notifier","JuliusAF","5,876"
"Empty Forestry Basket","DominickCobb","5,874"
"Skull Notifier","Trevor","5,870"
"Global F Keys","Sir Girion","5,840"
"Volcanic Mine pre-reset notifier","Kitsch#9214","5,792"
"World Cycle","1Defence","5,756"
"Loading Lines","De0","5,696"
"World country flags","melky","5,688"
"Death Charge Reminder","InfernoStats","5,681"
"Discord Level Notifications","Takamok","5,598"
"Runecrafting Lap Tracker","JwowSquared","5,583"
"Tileman Mode","ConorLeckey","5,558"
"Inferno Tracker","evaan","5,551"
"H.A.M Store Rooms","Geel","5,544"
"Fake Iron Icon","ThatGamerBlue","5,525"
"Mouse Click Counter","Robert Espinoza","5,512"
"Combat Level Calculator","Herbs","5,482"
"Dink","pajlads","5,459"
"Seaweed Spore Notifier","rbbi","5,435"
"Stack Value","Sheeva","5,418"
"Line of Sight","krazune","5,400"
"Client Anti Drag","1Defence","5,395"
"Nyloer","EIKOOT","5,369"
"In Game Timer","Idyl","5,348"
"Aqp Finder","Elixir140","5,186"
"Wintertodt Solo Helper","Aqua UIM","5,158"
"Contextual Cursor","Enriath","5,143"
"Uncharged Glory Warning","Nightfirecat","5,117"
"Region Locker","slaytostay","5,110"
"Spirit Tree Map","mjhylkema","5,067"
"Pickpocket Guardian","Drufix/Hiro/Orrezon","5,047"
"POH Storage","DekuScrub","5,007"
"Interactable Hints","DekuScrub","4,982"
"Collection Log Master","ImTedious","4,855"
"Bank Diff","dekvall","4,837"
"Inventory Summary","Enriath","4,834"
"Chinbompa","Adam","4,825"
"Clue Juggling Timer","geheur","4,811"
"Ultimate Volcanic Mine","CyanWarrior4","4,757"
"Cox Scav Calculator","Bwana Ian","4,742"
"Group Iron Panel","toasty-toast","4,719"
"Skilling Notifications","Jodelahithit","4,674"
"ToA Missing Pickaxe Indicator","Sorgrum","4,643"
"Not Enough Runes","Hannah_GBS & LlemonDuck","4,633"
"Random Event Analytics","z-index","4,541"
"EmojiScape","Hannah_GBS","4,533"
"Inventory Total","Eric Versteeg","4,532"
"Party Health Status","1Defence","4,451"
"Entrana","Patrick","4,418"
"Dynamic Inventory Tags","Amro Thabet","4,372"
"Profit Calculator","LlemonDuck","4,352"
"Godbook","InfernoStats","4,337"
"Stars to Clipboard","Cyborger1","4,222"
"Recently Banked Items","Patrick","4,200"
"RL Tray Notifications","Trevor","4,147"
"Metronome Infobox","kentor","4,107"
"Barb assault PBs","SkylerMiner","4,102"
"TOA Life no More","PaJau","4,084"
"Text to speech","JesseVii","4,072"
"Model Exporter","Bram91","4,035"
"Crop Circle Tracker","mattjrumble","4,031"
"Aerial Fishing","Patrick","4,003"
"Mining Special Effect Tracker","AdnapPanda","3,971"
"Death Party","Dang It","3,965"
"Lazy Farming","Speaax","3,950"
"Custom RSN Hider","ifeq","3,940"
"Keybinds overlay","Kuldar Vakker","3,926"
"Mini Bars","Skeldoor","3,926"
"Default Tab","Damen","3,916"
"Tick Timestamp","Skretzo","3,893"
"Exchange Logger","istid","3,875"
"Iron Value","hawkins","3,872"
"Low Detail Chambers","Unholypanda","3,869"
"Nievive","claudiodekker","3,859"
"Afk Marks Canafis","powerus117","3,856"
"Inventory Value Overlay","WikiWorm (Brandon Ripley)","3,796"
"ToG Indicator","LlemonDuck","3,787"
"Nature Rune Chest","Travis Earley","3,738"
"Skills Generator","MakingStan","3,725"
"Clue Hunter Finder","Bromkommer","3,719"
"Hydrate Reminder","jmakhack","3,716"
"Party Ready Check","Scainburger","3,692"
"Loot Splitter","LanaDelSlay","3,671"
"ToA Custom Presets","Denchy","3,659"
"PvMTickCounter","Chrisioman","3,618"
"Great Guardian Hider","Horseforlunch","3,571"
"Tray Indicators","DMAD777","3,557"
"Phoenix Necklace Jingle","Nope1252","3,553"
"Camera Keys","neilrush","3,527"
"Wilderness Slayer","BrastaSauce","3,510"
"Blindfold","StevenWaterman","3,453"
"Brewing","InfernoStats","3,443"
"VM Gasper","xncz8h","3,411"
"Green Screen","Trevor","3,390"
"Raid Shamer","Botanophobia","3,379"
